anna_c_e;da_c_clarations_de_naissance;da_c_clarations_de_mariage;mariages_ca_c_la_c_bra_c_s;mariages_de_personnes_maame_sexe;sa_c_parations_de_corps_et_biens;annulations_de_mariages;divorces;nombre_de_da_c_ca_s;mortinatalita_c
2003;5942;930;817;;9;40;2981;;35
2011;8525;806;724;35;7;66;4234;;31
2000;5172;;717;;13;40;2051;;29
2014;8915;716;655;26;5;49;3739;2313;68
2007;6266;1048;915;30;9;53;3648;;15
2006;6244;977;874;;11;50;3279;;31
2013;8826;700;657;24;11;66;4021;2571;49
2001;5543;;709;;10;48;2442;;27
2010;8650;794;759;34;4;69;4111;;50
2002;5326;;641;;13;35;2799;;38
2012;9134;767;731;27;9;64;4089;2636;31
2009;8297;866;799;35;3;67;4609;;62
2005;6465;989;843;;6;63;3153;;39
2008;6896;938;833;25;5;63;4444;;96
2004;6140;981;857;;5;44;3077;;38
